,コード,銘柄名
106,1486,上場インデックスファンド米国債券（為替ヘッジなし）
107,1487,上場インデックスファンド米国債券（為替ヘッジあり）
108,1488,ダイワ上場投信－東証ＲＥＩＴ指数
109,1489,ＮＥＸＴ　ＦＵＮＤＳ　日経平均高配当株５０指数連動型上場投信
110,1490,上場インデックスファンドＭＳＣＩ日本株高配当低ボラティリティ（βヘッジ）
111,1491,中外鉱業
112,1492,ＭＡＸＩＳ　ＪＰＸ　日経中小型株指数上場投信
113,1493,Ｏｎｅ　ＥＴＦ　ＪＰＸ日経中小型
114,1494,Ｏｎｅ　ＥＴＦ　高配当日本株
115,1495,上場インデックスファンドアジアリート
116,1496,ｉシェアーズ　米ドル建て投資適格社債　ＥＴＦ（為替ヘッジあり）
117,1497,ｉシェアーズ　米ドル建てハイイールド社債　ＥＴＦ（為替ヘッジあり）
118,1498,Ｏｎｅ　ＥＴＦ　ＥＳＧ
119,1499,ＭＡＸＩＳ日本株高配当７０マーケットニュートラル上場投信
120,1514,住石ホールディングス
121,1515,日鉄鉱業
122,1518,三井松島ホールディングス
123,1540,純金上場信託（現物国内保管型）
124,1541,純プラチナ上場信託（現物国内保管型）
125,1542,純銀上場信託（現物国内保管型）
126,1543,純パラジウム上場信託（現物国内保管型）
127,1545,ＮＥＸＴ　ＦＵＮＤＳ　ＮＡＳＤＡＱ－１００（為替ヘッジなし）連動型上場投信
128,1546,ＮＥＸＴ　ＦＵＮＤＳ　ダウ・ジョーンズ工業株３０種平均株価（為替ヘッジなし）連動型上場投信
129,1547,上場インデックスファンド米国株式（Ｓ＆Ｐ５００）
130,1550,ＭＡＸＩＳ　海外株式（ＭＳＣＩコクサイ）上場投信
131,1551,東証スタンダードＴＯＰ２０ＥＴＦ
132,1552,国際のＥＴＦ　ＶＩＸ短期先物指数
133,1554,上場インデックスファンド世界株式（ＭＳＣＩ　ＡＣＷＩ）除く日本
134,1555,上場インデックスファンド豪州リート（Ｓ＆Ｐ／ＡＳＸ２００　Ａ‐ＲＥＩＴ）
135,1557,ＳＰＤＲ　Ｓ＆Ｐ５００　ＥＴＦ
136,1559,ＮＥＸＴ　ＦＵＮＤＳ　タイ株式ＳＥＴ５０指数連動型上場投信
137,1560,ＮＥＸＴ　ＦＵＮＤＳ　ＦＴＳＥブルサ・マレーシアＫＬＣＩ連動型上場投信
138,1563,東証グロース・コアＥＴＦ
139,1566,上場インデックスファンド新興国債券
140,1568,ＴＯＰＩＸブル２倍上場投信
141,1569,ＴＯＰＩＸベア上場投信
142,1570,ＮＥＸＴ　ＦＵＮＤＳ　日経平均レバレッジ・インデックス連動型上場投信
143,1571,ＮＥＸＴ　ＦＵＮＤＳ　日経平均インバース・インデックス連動型上場投信
144,1572,中国Ｈ株ブル２倍上場投信
145,1573,中国Ｈ株ベア上場投信
